timestamp,gyroYaw,gyroPitch,gyroRoll,accelX,accelY,accelZ,isFallen
1688904777333839,0.001598,0.0,0.0,1.801055,0.153281,-9.551338,0
1688904777345931,0.000799,-0.000533,0.002397,1.801055,0.153281,-9.551338,0
1688904777358002,0.000799,-0.000533,0.002397,1.820215,0.134121,-9.513018,0
1688904777369846,0.001864,0.002663,0.003462,1.820215,0.134121,-9.513018,0
1688904777381957,0.001864,0.002663,0.003462,1.868115,0.105381,-9.81958,0
1688904777393899,0.001598,-0.000799,0.0,1.868115,0.105381,-9.81958,0
1688904777405890,0.001598,-0.000799,0.0,1.820215,0.114961,-9.551338,0
1688904777418035,0.000533,0.001332,0.0,1.820215,0.114961,-9.551338,0
1688904777430094,0.000533,0.001332,0.0,1.848955,0.153281,-9.800421,0
1688904777442014,-0.002663,0.001332,-0.001864,1.848955,0.153281,-9.800421,0
1688904777454134,-0.002663,0.001332,-0.001864,1.829795,0.143701,-9.69504,0
1688904777466115,-0.001332,0.002663,-0.003728,1.829795,0.143701,-9.69504,0
1688904777478067,-0.001332,0.002663,-0.003728,1.820215,0.153281,-9.618399,0
1688904777490284,0.000533,0.001864,0.001598,1.820215,0.153281,-9.618399,0
1688904777502133,0.000533,0.001864,0.001598,1.848955,0.124541,-9.637559,0
1688904777514290,-0.001065,0.0,0.000266,1.848955,0.124541,-9.637559,0
1688904777526111,-0.001065,0.0,0.000266,1.839375,0.124541,-9.69504,0
1688904777538164,-0.001598,-0.000266,-0.001598,1.839375,0.124541,-9.69504,0
1688904777550241,-0.001598,-0.000266,-0.001598,1.829795,0.143701,-9.656719,0
1688904777562197,-0.003995,0.002929,-0.000266,1.829795,0.143701,-9.656719,0
1688904777574204,-0.003995,0.002929,-0.000266,1.810635,0.153281,-9.77168,0
1688904777586314,-0.004794,0.002663,-0.001864,1.810635,0.153281,-9.77168,0
1688904777598526,-0.004794,0.002663,-0.001864,1.858535,0.143701,-9.666299,0
1688904777610275,-0.001864,-0.000799,0.002131,1.858535,0.143701,-9.666299,0
1688904777622423,-0.001864,-0.000799,0.002131,1.839375,0.172441,-9.675879,0
1688904777634379,-0.001065,0.0,0.001598,1.839375,0.172441,-9.675879,0
1688904777646350,-0.001065,0.0,0.001598,1.810635,0.086221,-9.685459,0
1688904777658376,-0.000799,0.000799,0.001332,1.810635,0.086221,-9.685459,0
1688904777670527,-0.000799,0.000799,0.001332,1.820215,0.095801,-9.77168,0
1688904777682637,0.001065,-0.001065,0.002131,1.820215,0.095801,-9.77168,0
1688904777694401,0.001065,-0.001065,0.002131,1.868115,0.114961,-9.637559,0
1688904777706442,0.0,0.000799,0.000533,1.868115,0.114961,-9.637559,0
1688904777718454,0.0,0.000799,0.000533,1.848955,0.162861,-9.618399,0
1688904777730582,-0.000266,0.000533,-0.002131,1.848955,0.162861,-9.618399,0
1688904777742593,-0.000266,0.000533,-0.002131,1.858535,0.143701,-9.704619,0
1688904777754892,-0.001598,-0.001864,-0.002397,1.858535,0.143701,-9.704619,0
1688904777766526,-0.001598,-0.001864,-0.002397,1.887275,0.162861,-9.75252,0
1688904777778489,0.0,0.0,0.004261,1.887275,0.162861,-9.75252,0
1688904777790686,0.0,0.0,0.004261,1.829795,0.095801,-9.77168,0
1688904777802550,0.0,0.001332,0.002131,1.829795,0.095801,-9.77168,0
1688904777814720,0.0,0.001332,0.002131,1.829795,0.076641,-9.618399,0
1688904777826709,0.003196,-0.000533,-0.000799,1.829795,0.076641,-9.618399,0
1688904777838604,0.003196,-0.000533,-0.000799,1.839375,0.124541,-9.733359,0
1688904777850686,0.001598,0.0,0.001065,1.839375,0.124541,-9.733359,0
1688904777862656,0.001598,0.0,0.001065,1.848955,0.143701,-9.637559,0
1688904777874655,-0.002131,0.000533,0.0,1.848955,0.143701,-9.637559,0
1688904777886721,-0.002131,0.000533,0.0,1.801055,0.162861,-9.656719,0
1688904777898692,-0.001332,0.0,-0.003462,1.801055,0.162861,-9.656719,0
1688904777910606,-0.001332,0.0,-0.003462,1.820215,0.124541,-9.7142,0
1688904777922690,-0.000799,-0.000533,0.003995,1.820215,0.124541,-9.7142,0
1688904777934830,-0.000799,-0.000533,0.003995,1.820215,0.143701,-9.64714,0
1688904777946952,0.004261,-0.001332,0.003462,1.820215,0.143701,-9.64714,0
1688904777959284,0.004261,-0.001332,0.003462,1.829795,0.114961,-9.69504,0
1688904777970869,0.0,-0.000799,0.000799,1.829795,0.114961,-9.69504,0
1688904777982889,0.0,-0.000799,0.000799,1.829795,0.086221,-9.77168,0
1688904777994852,0.001598,0.0,-0.001332,1.829795,0.086221,-9.77168,0
1688904778006796,0.001598,0.0,-0.001332,1.877695,0.153281,-9.72378,0
1688904778018937,0.001065,-0.000799,-0.000266,1.877695,0.153281,-9.72378,0
1688904778030844,0.001065,-0.000799,-0.000266,1.829795,0.182021,-9.656719,0
1688904778042825,0.0,-0.001065,-0.002663,1.829795,0.182021,-9.656719,0
1688904778054865,0.0,-0.001065,-0.002663,1.820215,0.124541,-9.81,0
1688904778067056,0.000799,0.000533,0.000266,1.820215,0.124541,-9.81,0
1688904778078942,0.000799,0.000533,0.000266,1.820215,0.134121,-9.7142,0
1688904778090870,0.002929,0.000533,0.007723,1.820215,0.134121,-9.7142,0
1688904778102950,0.002929,0.000533,0.007723,1.848955,0.095801,-9.77168,0
1688904778115098,0.001065,-0.000266,0.007457,1.848955,0.095801,-9.77168,0
1688904778127029,0.001065,-0.000266,0.007457,1.848955,0.124541,-9.618399,0
1688904778138963,-0.003462,0.001598,0.001864,1.848955,0.124541,-9.618399,0
1688904778151013,-0.003462,0.001598,0.001864,1.791475,0.105381,-9.627979,0
