timestamp,gyroYaw,gyroPitch,gyroRoll,accelX,accelY,accelZ,bodyPitch,bodyRoll
1688904650819531,0.000266,0.000000,0.019974,0.756826,-0.114961,-9.666299,0.073942,0.003983
1688904650831514,0.005060,0.000000,0.028762,0.756826,-0.114961,-9.666299,0.075067,0.006457
1688904650843390,0.005060,0.000000,0.028762,0.622705,-0.364043,-9.695040,0.074269,0.009076
1688904650855610,0.003196,0.001065,0.018908,0.622705,-0.364043,-9.695040,0.073474,0.011571
1688904650867505,0.003196,0.001065,0.018908,0.747246,-0.402363,-9.723780,0.073742,0.014193
1688904650879468,0.001598,-0.001598,-0.002929,0.747246,-0.402363,-9.723780,0.073979,0.016552
1688904650891634,0.001598,-0.001598,-0.002929,0.632285,-0.229922,-9.723780,0.072070,0.017997
1688904650903619,-0.001065,0.005060,-0.019707,0.632285,-0.229922,-9.723780,0.070247,0.019247
1688904650915549,-0.001065,0.005060,-0.019707,0.699346,-0.067061,-9.723780,0.070608,0.016622
1688904650927742,-0.003995,0.003995,-0.025300,0.699346,-0.067061,-9.723780,0.070949,0.013927
1688904650939862,-0.003995,0.003995,-0.025300,0.641865,0.210762,-9.666299,0.070689,0.011235
1688904650951716,-0.002929,0.001864,-0.013848,0.641865,0.210762,-9.666299,0.070397,0.008681
1688904650963795,-0.002929,0.001864,-0.013848,0.718506,0.134121,-9.675879,0.070813,0.006139
1688904650975829,-0.002397,-0.000799,0.007457,0.718506,0.134121,-9.675879,0.071197,0.003853
1688904650987653,-0.002397,-0.000799,0.007457,0.680186,-0.009580,-9.714200,0.070200,0.001749
1688904650999770,0.000533,0.000266,0.024235,0.680186,-0.009580,-9.714200,0.069337,-0.000203
1688904651011818,0.000533,0.000266,0.024235,0.651445,-0.201182,-9.695040,0.069084,0.002481
1688904651023741,0.005859,0.000266,0.027431,0.651445,-0.201182,-9.695040,0.068825,0.005206
1688904651035765,0.005859,0.000266,0.027431,0.651445,-0.450264,-9.695040,0.068726,0.007944
1688904651047771,0.002663,0.002397,0.015713,0.651445,-0.450264,-9.695040,0.068651,0.010538
1688904651059707,0.002663,0.002397,0.015713,0.680186,-0.277822,-9.714200,0.068844,0.013128
1688904651071934,-0.001332,0.001065,-0.006658,0.680186,-0.277822,-9.714200,0.069018,0.015447
1688904651083953,-0.001332,0.001065,-0.006658,0.728086,-0.143701,-9.685459,0.071413,0.015124
1688904651095850,-0.005859,0.002131,-0.026898,0.728086,-0.143701,-9.685459,0.073826,0.014605
1688904651107850,-0.005859,0.002131,-0.026898,0.670605,0.019160,-9.666299,0.073216,0.011959
1688904651119792,-0.006392,0.002663,-0.030893,0.670605,0.019160,-9.666299,0.072594,0.009268
1688904651131970,-0.006392,0.002663,-0.030893,0.708926,0.258662,-9.513018,0.072746,0.006489
1688904651143934,0.000000,0.002663,-0.009055,0.708926,0.258662,-9.513018,0.072896,0.003977
1688904651155977,0.000000,0.002663,-0.009055,0.680186,0.143701,-9.992022,0.072305,0.001545
1688904651167993,-0.002131,0.004527,0.012517,0.680186,0.143701,-9.992022,0.071727,-0.000628
1688904651179929,-0.002131,0.004527,0.012517,0.613125,-0.114961,-9.302257,0.070786,0.001709
1688904651192029,0.003728,-0.003196,0.028230,0.613125,-0.114961,-9.302257,0.069731,0.004229
1688904651203924,0.003728,-0.003196,0.028230,0.823887,-0.239502,-9.944121,0.071003,0.006583
1688904651216042,0.006125,0.000799,0.025833,0.823887,-0.239502,-9.944121,0.072344,0.008897
1688904651228014,0.006125,0.000799,0.025833,0.843047,-0.383203,-9.618399,0.073405,0.011373
1688904651240023,0.002397,-0.002663,0.007989,0.843047,-0.383203,-9.618399,0.074433,0.013627
1688904651252102,0.002397,-0.002663,0.007989,0.613125,-0.335303,-9.723780,0.073241,0.015831
1688904651264103,-0.001864,0.001065,-0.015180,0.613125,-0.335303,-9.723780,0.072092,0.017753
1688904651276043,-0.001864,0.001065,-0.015180,0.574805,-0.086221,-9.627979,0.070148,0.016186
1688904651288162,-0.006924,-0.000799,-0.026898,0.574805,-0.086221,-9.627979,0.068165,0.014499
1688904651300026,-0.006924,-0.000799,-0.026898,0.823887,0.095801,-9.819580,0.069455,0.012148
1688904651312120,-0.002131,0.000799,-0.021039,0.823887,0.095801,-9.819580,0.070777,0.009881
